backend,idx,query_id,expected_decision,decision,reason,ok,physical_execution,execution_attempted,execution_status,adapter_id,execution_path
sql_direct,1,AW_Q1_ALLOW_SALES_MONTH_REGION,ALLOW,ALLOW,ALLOW_NEW_TOTAL,True,True,,,adventureworks_direct,sqlserver_direct
sql_direct,2,AW_Q2_ALLOW_QUANTITY_MONTH_REGION,ALLOW,ALLOW,ALLOW_NEW_TOTAL,True,True,,,adventureworks_direct,sqlserver_direct
sql_direct,3,AW_Q3_BLOCK_OUT_OF_OBJECTIVE_TERRITORY,BLOCK,BLOCK,BLOCK_OUT_OF_OBJECTIVE_SCOPE,True,False,,,,
sql_direct,4,AW_Q4_BLOCK_OUT_OF_OBJECTIVE_PRODUCT,BLOCK,BLOCK,BLOCK_OUT_OF_OBJECTIVE_SCOPE,True,False,,,,
sql_direct,5,AW_Q5_BLOCK_BAD_GRAIN_YEAR,BLOCK,BLOCK,BLOCK_GRAIN_MISMATCH,True,False,,,,
sql_direct,6,AW_Q6_BLOCK_REDUNDANT_SALES,BLOCK,BLOCK,BLOCK_REDUNDANT_DPHI_ZERO,True,False,,,,
xmla,1,AW_Q1_ALLOW_SALES_MONTH_REGION,ALLOW,ALLOW,ALLOW_NEW_TOTAL,True,True,,,xmla_mondrian,xmla_mondrian
xmla,2,AW_Q2_ALLOW_QUANTITY_MONTH_REGION,ALLOW,ALLOW,ALLOW_NEW_TOTAL,True,True,,,xmla_mondrian,xmla_mondrian
xmla,3,AW_Q3_BLOCK_OUT_OF_OBJECTIVE_TERRITORY,BLOCK,BLOCK,BLOCK_OUT_OF_OBJECTIVE_SCOPE,True,False,,,,
xmla,4,AW_Q4_BLOCK_OUT_OF_OBJECTIVE_PRODUCT,BLOCK,BLOCK,BLOCK_OUT_OF_OBJECTIVE_SCOPE,True,False,,,,
xmla,5,AW_Q5_BLOCK_BAD_GRAIN_YEAR,BLOCK,BLOCK,BLOCK_GRAIN_MISMATCH,True,False,,,,
xmla,6,AW_Q6_BLOCK_REDUNDANT_SALES,BLOCK,BLOCK,BLOCK_REDUNDANT_DPHI_ZERO,True,False,,,,
