factor,factor_level,step_index,structural_seed_count,measurements_per_seed,observation_count,bootstrap_repetitions,bootstrap_seed,confidence_level,point_median_ms,median_ci_lower_ms,median_ci_upper_ms,median_relative_half_width,point_p95_ms,p95_ci_lower_ms,p95_ci_upper_ms,p95_relative_half_width,maximum_leave_one_seed_out_median_relative_change,maximum_leave_one_seed_out_p95_relative_change,median_precision_target,p95_precision_target,median_target_met,p95_target_met,all_cell_targets_met
constraint_count,2,1,20,100,2000,10000,20280828,0.95,0.688225,0.6768273375,0.699922325,0.016778660685095675,1.3092807499999999,1.2709677499999998,1.3491579999999999,0.02986000137861953,0.0034421882378581924,0.00429029449947987,0.1,0.15,True,True,True
constraint_count,2,2,20,100,2000,10000,20280928,0.95,0.6413885,0.631515925,0.650747,0.014991752268710763,1.237807,1.2178038,1.2553834,0.015179910923108341,0.003546212630878271,0.0025189710512221824,0.1,0.15,True,True,True
constraint_count,4,1,20,100,2000,10000,20300828,0.95,0.528427,0.5202709249999999,0.5362345,0.015104806340327053,0.9824929499999999,0.9560666999999999,1.0036232,0.02420195483336553,0.002719391704057345,0.005979483109776979,0.1,0.15,True,True,True
constraint_count,4,2,20,100,2000,10000,20300928,0.95,0.4791745,0.47422235,0.483907,0.010105556535249645,0.9307330500000001,0.910437,0.94446,0.018277528664099717,0.0022121377494002817,0.003959083649173168,0.1,0.15,True,True,True
constraint_count,8,1,20,100,2000,10000,20340828,0.95,0.468394,0.4604585,0.4742459875,0.01471783103541039,0.8498783,0.839438,0.863594,0.014211446509459035,0.002620656968278708,0.0036146351777659974,0.1,0.15,True,True,True
constraint_count,8,2,20,100,2000,10000,20340928,0.95,0.41289750000000003,0.409578,0.416913,0.008882349735709201,0.7856278999999999,0.77320305,0.79627425,0.014683287087945808,0.0018079547587477249,0.002999829817652885,0.1,0.15,True,True,True
constraint_count,12,1,20,100,2000,10000,20380828,0.95,0.4867995,0.47963195000000003,0.495212,0.016002532870308984,0.9062191999999999,0.87943015,0.9233655,0.02424101696366615,0.003244662330179081,0.009346303852312842,0.1,0.15,True,True,True
constraint_count,12,2,20,100,2000,10000,20380928,0.95,0.434046,0.430008,0.437816,0.008994438377499138,0.84255815,0.822457,0.8527551499999999,0.017979856939250968,0.001969837298350854,0.008367553028832464,0.1,0.15,True,True,True
constraint_count,16,1,20,100,2000,10000,20420828,0.95,0.489721,0.48296243749999995,0.496292,0.013609343381231414,0.9062732,0.8920832499999999,0.9175926274999999,0.014073779021601897,0.0023942203826259546,0.0016210343635892587,0.1,0.15,True,True,True
constraint_count,16,2,20,100,2000,10000,20420928,0.95,0.4373585,0.434463,0.44058804999999995,0.007002321893823906,0.8381599,0.8186125999999999,0.850562,0.01905925110471172,0.002050949049806923,0.00855212710605695,0.1,0.15,True,True,True
