factor,factor_level,step_index,structural_seed_count,measurements_per_seed,observation_count,bootstrap_repetitions,bootstrap_seed,confidence_level,point_median_ms,median_ci_lower_ms,median_ci_upper_ms,median_relative_half_width,point_p95_ms,p95_ci_lower_ms,p95_ci_upper_ms,p95_relative_half_width,maximum_leave_one_seed_out_median_relative_change,maximum_leave_one_seed_out_p95_relative_change,median_precision_target,p95_precision_target,median_target_met,p95_target_met,all_cell_targets_met
objective_count,1,1,30,100,3000,10000,20270828,0.95,0.5152855000000001,0.491854,0.5283295,0.035393485747221676,0.8907816499999999,0.8191208,0.9476903499999998,0.07216670325438329,0.004810925205541626,0.03482621133922286,0.1,0.15,True,True,True
objective_count,1,2,30,100,3000,10000,20270928,0.95,0.465758,0.458448625,0.471722,0.014249218478265512,0.8516578499999992,0.7880522,0.9039363499999997,0.06803445186350356,0.0021803168168877452,0.02754727147762358,0.1,0.15,True,True,True
objective_count,1,3,30,100,3000,10000,20271028,0.95,0.44917300000000004,0.43793655000000004,0.4554187875,0.019460472356975976,0.84189925,0.781883,0.8732909999999999,0.05428678075197236,0.0024433792770270795,0.0271739165939399,0.1,0.15,True,True,True
objective_count,1,4,30,100,3000,10000,20271128,0.95,0.444983,0.436453975,0.4499957625,0.015216072861210442,0.80857065,0.773708,0.846895,0.04525702237646148,0.001825912450587986,0.01057897661756593,0.1,0.15,True,True,True
objective_count,1,5,30,100,3000,10000,20271228,0.95,0.44143750000000004,0.433871,0.44702299999999995,0.01489678606824289,0.8331025,0.77822245,0.863864,0.051399167569416704,0.0024510831091603493,0.026848737100176906,0.1,0.15,True,True,True
objective_count,1,6,30,100,3000,10000,20271328,0.95,0.43495799999999996,0.421301,0.4434619375,0.02547480159003862,0.7979107499999999,0.7418471999999998,0.8653970274999999,0.07742083152783699,0.003945208502889796,0.021833080955483693,0.1,0.15,True,True,True
objective_count,1,7,30,100,3000,10000,20271428,0.95,0.434556,0.4207,0.4417370125,0.024205180114875883,0.78571775,0.744101,0.839858,0.0609360040548912,0.002944384613260406,0.014113401409093918,0.1,0.15,True,True,True
objective_count,1,8,30,100,3000,10000,20271528,0.95,0.43753,0.4296189625,0.4430385,0.015335562704271733,0.8311151999999997,0.777403,0.8581972999999996,0.0486059573931506,0.0020387173450963454,0.0119264453351356,0.1,0.15,True,True,True
objective_count,1,9,30,100,3000,10000,20271628,0.95,0.4350945,0.421126,0.44175,0.023700598375755125,0.7978265999999999,0.7503795499999999,0.8395760125,0.055899654448723655,0.00234661665454285,0.017603699851572063,0.1,0.15,True,True,True
objective_count,1,10,30,100,3000,10000,20271728,0.95,0.43554000000000004,0.41895499999999997,0.44386607499999997,0.02859791867566699,0.80244805,0.754754,0.84788455,0.058029021317953185,0.005122376819580379,0.020542202077754822,0.1,0.15,True,True,True
objective_count,1,11,30,100,3000,10000,20271828,0.95,0.4344945,0.416558,0.4420833,0.02937355938912924,0.7978616499999996,0.7419384499999981,0.851152,0.06844140835695131,0.0033625281792981168,0.018376870225558346,0.1,0.15,True,True,True
objective_count,1,12,30,100,3000,10000,20271928,0.95,0.413906,0.32342395000000007,0.4374265,0.13771550786893633,0.8330069499999998,0.726238,0.8858573749999991,0.09580914961153628,0.005959082496992163,0.03952650094936188,0.1,0.15,False,True,False
objective_count,1,13,30,100,3000,10000,20272028,0.95,0.41313900000000003,0.3958305875,0.4302587625,0.04166657589818439,0.7623812999999999,0.7087275999999999,0.8262697499999991,0.0770888202530671,0.003982921002374557,0.025497018355513323,0.1,0.15,True,True,True
objective_count,1,14,30,100,3000,10000,20272128,0.95,0.429546,0.4172245,0.437751,0.023893250082645402,0.8002512999999994,0.7588924999999999,0.84301,0.05255692805497488,0.0034908950380168526,0.017291505805738756,0.1,0.15,True,True,True
objective_count,1,15,30,100,3000,10000,20272228,0.95,0.4346915,0.420666,0.4430015,0.025691208592760622,0.7993347999999999,0.7387562162499997,0.853022,0.07147554676088187,0.0042236850732071006,0.01669650814652387,0.1,0.15,True,True,True
