family,source_relpath,manifest_backed_run_count,manifest_canonical_unique_hash_count,all_six_canonical_unique_hash_count,canonical_sha256,cross_run_non_temporal_or_structural_stability
policy_benchmark_summary_non_temporal,modern/policy_benchmark/policy_summary.csv,5,1,1,f9b8e1fb62aa6c482d8ecbc9030d2e961f86d070f25e6bac5f2f9eb548ab5095,PASS
policy_benchmark_session_non_temporal,modern/policy_benchmark/policy_session_metrics.csv,5,1,1,a45c2b35cb5ee69f48413a46c5019db385969ef6007c9281431d1d09c534ccde,PASS
policy_benchmark_step_non_temporal,modern/policy_benchmark/policy_step_metrics.csv,5,1,1,636ad828b544aa2d5d7fc40dee410b7c00de5d19295b18985b2b05f0cb2787b6,PASS
scalability_catalog_structural,modern/scalability/catalog_scalability.csv,5,1,1,40e9f230231073fb569cec74fc6ac2d2c6c0aa9f96318f8d8208e86513c5d3d8,PASS
scalability_growth_structural,modern/scalability/growth_control.csv,5,1,1,2824ed95d2ee8b02b4bb670f005887562068fd6c7be70bcdb972fb62c29c07e8,PASS
evidence_usefulness_non_timestamp,modern/evidence/evidence_usefulness_report.json,5,1,1,7f96f9ca72aa167589a19dda416fb014c273a3abc9089c2da6be1c4c0a1a6c6c,PASS
evidence_bootstrap_benefit,modern/evidence/bootstrap_benefit_summary.json,5,1,1,594a8e30478fff264a08a176193a595b7b58700ccfe105549abfc00a83ef3205,PASS
phase7_pairwise_statistics,modern/stats/pairwise_policy_statistics.csv,5,1,1,44bde626559cc058c0986d3f39736623563316e044a615a60c79f39c558e1614,PASS
phase7_policy_confidence_intervals,modern/stats/policy_confidence_intervals.csv,5,1,1,bdcf9e908f4eff9d6bf8d76b1e767b3ee1975e64fe9161e2069dddbc78881958,PASS
phase7_statistical_summary,modern/stats/phase7_statistical_summary.json,5,1,1,12a6b906742f14c395ef1df98e064e7ea21f2516ee273dbc253cb898fc67b722,PASS
