comparator,metric,n_pairs,mcad_advantage_mean,ci_low,ci_high,p_value_sign_flip,dominance_rate
baseline_naive,phi_final,450,0.0,0.0,0.0,1.0,0.5
baseline_naive,auc_phi,450,0.0,0.0,0.0,1.0,0.5
baseline_naive,false_allow_rate,450,0.703704,0.663704,0.744444,0.0002,0.861111
baseline_naive,non_contrib_exec_rate,450,0.703704,0.663704,0.744444,0.0002,0.861111
baseline_measure_overlap,phi_final,450,0.0,0.0,0.0,1.0,0.5
baseline_measure_overlap,auc_phi,450,0.0,0.0,0.0,1.0,0.5
baseline_measure_overlap,false_allow_rate,450,0.592593,0.548889,0.637037,0.0002,0.805556
baseline_measure_overlap,non_contrib_exec_rate,450,0.592593,0.548889,0.637037,0.0002,0.805556
baseline_random_matched,phi_final,450,0.115556,0.094815,0.137037,0.0002,0.617778
baseline_random_matched,auc_phi,450,0.074815,0.060741,0.089136,0.0002,0.617778
baseline_random_matched,false_allow_rate,450,0.411111,0.366667,0.457037,0.0002,0.717778
baseline_random_matched,non_contrib_exec_rate,450,0.424444,0.37963,0.470741,0.0002,0.717778
ablation_no_sat,phi_final,450,0.0,0.0,0.0,1.0,0.5
ablation_no_sat,auc_phi,450,0.0,0.0,0.0,1.0,0.5
ablation_no_sat,false_allow_rate,450,0.0,0.0,0.0,1.0,0.5
ablation_no_sat,non_contrib_exec_rate,450,0.0,0.0,0.0,1.0,0.5
ablation_no_real,phi_final,450,0.0,0.0,0.0,1.0,0.5
ablation_no_real,auc_phi,450,0.0,0.0,0.0,1.0,0.5
ablation_no_real,false_allow_rate,450,0.111111,0.082222,0.142222,0.0002,0.555556
ablation_no_real,non_contrib_exec_rate,450,0.111111,0.082222,0.142222,0.0002,0.555556
ablation_ceval_any_intersection,phi_final,450,0.0,0.0,0.0,1.0,0.5
ablation_ceval_any_intersection,auc_phi,450,0.0,0.0,0.0,1.0,0.5
ablation_ceval_any_intersection,false_allow_rate,450,0.111111,0.082222,0.142222,0.0002,0.555556
ablation_ceval_any_intersection,non_contrib_exec_rate,450,0.111111,0.082222,0.142222,0.0002,0.555556
