mode,step_idx,eval_ms,n_nodes,n_edges,history_len,removed_qp_nodes,snapshot_bytes
no_compaction,1,0.38969,655,809,0,0,
no_compaction,10,0.273681,664,823,0,0,
no_compaction,20,0.27263,674,836,0,0,
no_compaction,30,0.362841,684,850,0,0,
no_compaction,40,0.276007,694,863,0,0,
no_compaction,50,0.301406,704,876,0,0,
no_compaction,60,0.357274,714,890,0,0,
no_compaction,70,0.302562,724,903,0,0,
no_compaction,80,0.277751,734,916,0,0,
no_compaction,90,0.403381,744,930,0,0,
no_compaction,100,0.369199,754,943,0,0,
no_compaction,110,0.269412,764,956,0,0,
no_compaction,120,0.357918,774,970,0,0,
no_compaction,120,0.0,774,970,0,0,569626
keep_last,1,0.605373,655,809,0,0,
keep_last,10,0.587681,662,821,0,1,
keep_last,20,0.318041,662,820,0,1,
keep_last,30,0.438559,662,821,0,1,
keep_last,40,0.282235,662,821,0,1,
keep_last,50,0.280558,662,820,0,1,
keep_last,60,0.366766,662,821,0,1,
keep_last,70,0.28054,662,821,0,1,
keep_last,80,0.280104,662,820,0,1,
keep_last,90,0.36075,662,821,0,1,
keep_last,100,0.279509,662,821,0,1,
keep_last,110,0.354707,662,820,0,1,
keep_last,120,0.363233,662,821,0,1,
keep_last,120,0.0,662,821,0,0,445446
