phase,phase_round,order_position,observation_index,cell_id,canonical_instance_id,factor_level,replication_index,seed,step_position,step_index,step_id,prefix_step_count,fresh_state,wall_latency_ns,wall_latency_ms,cpu_latency_ns,cpu_latency_ms,semantic_digest,semantic_match
warmup,0,0,1,level_000020/rep_029_seed_1430030072::step_0023,level_000020/rep_029_seed_1430030072,20,29,1430030072,22,23,step-0023-support-17,22,True,754189,0.754189,758302,0.758302,f5ee7b4d224d4c2bf162d0aa8ceb75be62c7c096ed3687267cbdf60ae0c0376f,True
warmup,0,1,2,level_000002/rep_029_seed_1430030072::step_0009,level_000002/rep_029_seed_1430030072,2,29,1430030072,8,9,step-0009-support-07,8,True,446796,0.446796,448837,0.448837,c4bd1b065f82706f6172fda4f7bf62e0903ee349f507b3066fed29861a00398f,True
warmup,0,2,3,level_000002/rep_029_seed_1430030072::step_0031,level_000002/rep_029_seed_1430030072,2,29,1430030072,30,31,step-0031-support-22,30,True,411881,0.411881,414144,0.414144,fd6d63ea7c6eea7fdb4fcfd24f9210dc76ae8ffb34a3c8824a2cf9949fbd3298,True
warmup,0,3,4,level_000050/rep_029_seed_1430030072::step_0025,level_000050/rep_029_seed_1430030072,50,29,1430030072,24,25,step-0025-noise-invalid_unit,24,True,358137,0.358137,361472,0.361472,21644378b0016624fd0b85ff31e134eaf618bc7406ede4b2ee2bc7563a0d0ecc,True
warmup,0,4,5,level_000020/rep_029_seed_1430030072::step_0019,level_000020/rep_029_seed_1430030072,20,29,1430030072,18,19,step-0019-noise-insufficient_grain,18,True,276180,0.27618,278344,0.278344,3ff85d69dea2a0fbf5698ecd2317c8f08e19dfea432b428f26dc4c60e93a65ff,True
warmup,0,5,6,level_000005/rep_029_seed_1430030072::step_0007,level_000005/rep_029_seed_1430030072,5,29,1430030072,6,7,step-0007-noise-redundant_contribution,6,True,453320,0.45332,455219,0.455219,3fc2c4b4c3e023c0dd3564b431bf97761757491dd01e7493d7e5ca4fc2e36a89,True
warmup,0,6,7,level_000050/rep_029_seed_1430030072::step_0026,level_000050/rep_029_seed_1430030072,50,29,1430030072,25,26,step-0026-support-18,25,True,427958,0.427958,430538,0.430538,6c35382827d63156d86cf9f2731c2852a3d0ec4848b95f077dad30ed883cf361,True
warmup,0,7,8,level_000001/rep_029_seed_1430030072::step_0008,level_000001/rep_029_seed_1430030072,1,29,1430030072,7,8,step-0008-support-06,7,True,439220,0.43922,441168,0.441168,8bc98e0d383d2983556fbd11f3ec37c92b910946ff4e65e4ca4dc4e7d01d7752,True
warmup,0,8,9,level_000010/rep_029_seed_1430030072::step_0002,level_000010/rep_029_seed_1430030072,10,29,1430030072,1,2,step-0002-support-01,1,True,563299,0.563299,566522,0.566522,ca138b184d4f0583c7a8903bc21aa4276f161ef7c010926f7ca11fb66f496b02,True
warmup,0,9,10,level_000005/rep_029_seed_1430030072::step_0030,level_000005/rep_029_seed_1430030072,5,29,1430030072,29,30,step-0030-noise-invalid_time_window,29,True,247145,0.247145,249815,0.249815,26a454fa1085d2ad35dd51e384aeddea49a62572e4dd1a30bd394509922d1afa,True
warmup,0,10,11,level_000010/rep_029_seed_1430030072::step_0016,level_000010/rep_029_seed_1430030072,10,29,1430030072,15,16,step-0016-support-13,15,True,421506,0.421506,423749,0.423749,a72fd89c10a2b78753d3a0b9676ca4c556292738453c99ed2cdbce92e11347d4,True
warmup,0,11,12,level_000001/rep_029_seed_1430030072::step_0006,level_000001/rep_029_seed_1430030072,1,29,1430030072,5,6,step-0006-support-05,5,True,419455,0.419455,421099,0.421099,7e8d0eae0ffb970eaf846dafb067b05ecb37ecb9b92958cd320cb1930f0247ec,True
warmup,0,12,13,level_000050/rep_029_seed_1430030072::step_0032,level_000050/rep_029_seed_1430030072,50,29,1430030072,31,32,step-0032-support-23,31,True,441468,0.441468,444305,0.444305,caec0ff9d95177b5751474f1f32e22db309470f6c2460aa022f0d90f5efd730c,True
warmup,0,13,14,level_000010/rep_029_seed_1430030072::step_0022,level_000010/rep_029_seed_1430030072,10,29,1430030072,21,22,step-0022-support-16,21,True,412147,0.412147,414317,0.414317,1cdf6c7479fb25fdc5dadb23e3e8239899984a9e8ac2fc57611b444f2fadaebf,True
warmup,0,14,15,level_000020/rep_029_seed_1430030072::step_0016,level_000020/rep_029_seed_1430030072,20,29,1430030072,15,16,step-0016-support-13,15,True,434510,0.43451,437335,0.437335,90cf9dd868682be898d427808ee9373734a69292bf0dd6423992bf8e93c529ba,True
warmup,0,15,16,level_000002/rep_029_seed_1430030072::step_0028,level_000002/rep_029_seed_1430030072,2,29,1430030072,27,28,step-0028-support-20,27,True,423864,0.423864,426220,0.42622,3d1a4ba6a28e9f2e3636c67093e3932d31e2c3874762ae7832a2f5a1320fde92,True
warmup,0,16,17,level_000010/rep_029_seed_1430030072::step_0029,level_000010/rep_029_seed_1430030072,10,29,1430030072,28,29,step-0029-support-21,28,True,774285,0.774285,778616,0.778616,cfed574d39965dd867dd9538d93a44afec52e3c19787a84cf1cf4f61d6ce9257,True
warmup,0,17,18,level_000050/rep_029_seed_1430030072::step_0020,level_000050/rep_029_seed_1430030072,50,29,1430030072,19,20,step-0020-support-15,19,True,767661,0.767661,771494,0.771494,15612216d035dfe91b5a1d8ca329fc81d36fdadbbc12c43ef5fc54d6621e51e4,True
warmup,0,18,19,level_000050/rep_029_seed_1430030072::step_0024,level_000050/rep_029_seed_1430030072,50,29,1430030072,23,24,step-0024-noise-wrong_context,23,True,212835,0.212835,215049,0.215049,6732e6af9c9d89727bc061b8202633ffc2666e6cb41ce8377f493d5db2bcfaef,True
warmup,0,19,20,level_000001/rep_029_seed_1430030072::step_0015,level_000001/rep_029_seed_1430030072,1,29,1430030072,14,15,step-0015-support-12,14,True,759204,0.759204,762063,0.762063,ff38accabad48634a04e8af6ca305fd2b21fa8813225538debcc12515f67dab4,True
warmup,0,20,21,level_000020/rep_029_seed_1430030072::step_0014,level_000020/rep_029_seed_1430030072,20,29,1430030072,13,14,step-0014-support-11,13,True,424027,0.424027,426367,0.426367,7ea0656a5827d4f444901d0753848829e7264a6cc3d78455134f77f5175f07ac,True
warmup,0,21,22,level_000002/rep_029_seed_1430030072::step_0023,level_000002/rep_029_seed_1430030072,2,29,1430030072,22,23,step-0023-support-17,22,True,411973,0.411973,414142,0.414142,f8bd65045f137b48c5af4ac757fe6bace0dd63eb950cea456c3fbbaf3b62d11a,True
warmup,0,22,23,level_000001/rep_029_seed_1430030072::step_0001,level_000001/rep_029_seed_1430030072,1,29,1430030072,0,1,step-0001-support-00,0,True,492290,0.49229,494187,0.494187,9ef3cb381487f13d06fe5d9e57d61ba64fe39e49eedc53a70832a13bc52b8351,True
warmup,0,23,24,level_000010/rep_029_seed_1430030072::step_0031,level_000010/rep_029_seed_1430030072,10,29,1430030072,30,31,step-0031-support-22,30,True,415262,0.415262,417675,0.417675,0ce58eb92bdc1d066d928f20c98c97313fe8494cc01c2cddf894da2e5fb48e97,True
warmup,0,24,25,level_000005/rep_029_seed_1430030072::step_0019,level_000005/rep_029_seed_1430030072,5,29,1430030072,18,19,step-0019-noise-insufficient_grain,18,True,282819,0.282819,284994,0.284994,cd670d81984ed4b09da8cc01006877491be5ed4647eb738e780e1cbd1e0f2f2a,True
warmup,0,25,26,level_000001/rep_029_seed_1430030072::step_0010,level_000001/rep_029_seed_1430030072,1,29,1430030072,9,10,step-0010-support-08,9,True,419192,0.419192,421238,0.421238,0485e3b05410013e428981b63313805fe7a46e4a12a2500cebfb2dd8bcba39df,True
warmup,0,26,27,level_000010/rep_029_seed_1430030072::step_0023,level_000010/rep_029_seed_1430030072,10,29,1430030072,22,23,step-0023-support-17,22,True,412240,0.41224,414447,0.414447,f90c482fdda9b930fd13491e8e21d9778a7362be041583b1194254e85ec70283,True
warmup,0,27,28,level_000010/rep_029_seed_1430030072::step_0013,level_000010/rep_029_seed_1430030072,10,29,1430030072,12,13,step-0013-support-10,12,True,417640,0.41764,419706,0.419706,4bcdc72281eb06a61ec3a540256a590b47038f32b10223d65c8f2047ed909ec0,True
warmup,0,28,29,level_000001/rep_029_seed_1430030072::step_0007,level_000001/rep_029_seed_1430030072,1,29,1430030072,6,7,step-0007-noise-redundant_contribution,6,True,727842,0.727842,730753,0.730753,db62e799af65218e7679a20b92ea0eecb5e711e36880d3e943404fc047657e06,True
warmup,0,29,30,level_000001/rep_029_seed_1430030072::step_0018,level_000001/rep_029_seed_1430030072,1,29,1430030072,17,18,step-0018-support-14,17,True,413464,0.413464,415386,0.415386,46993c651184d530eba1b6d8111bbfdd06af1a4f9b529285ad4607c3d2702fc5,True
warmup,0,30,31,level_000005/rep_029_seed_1430030072::step_0020,level_000005/rep_029_seed_1430030072,5,29,1430030072,19,20,step-0020-support-15,19,True,430264,0.430264,432262,0.432262,d1bcde29493821621ad91c53cf6832f2ba08b0772d5021f13c7df6c5f278aa87,True
warmup,0,31,32,level_000010/rep_029_seed_1430030072::step_0005,level_000010/rep_029_seed_1430030072,10,29,1430030072,4,5,step-0005-support-04,4,True,420016,0.420016,421865,0.421865,315f0072c768bec8754b6aaa1ca1f80eed10600dc8ebf9ca746715cf689ab0fa,True
warmup,0,32,33,level_000050/rep_029_seed_1430030072::step_0023,level_000050/rep_029_seed_1430030072,50,29,1430030072,22,23,step-0023-support-17,22,True,422494,0.422494,425251,0.425251,02a95ff78ed0567b7feae160c66f33ea4395b59ed38eeb508bb7d522e73e1f4d,True
warmup,0,33,34,level_000010/rep_029_seed_1430030072::step_0030,level_000010/rep_029_seed_1430030072,10,29,1430030072,29,30,step-0030-noise-invalid_time_window,29,True,440664,0.440664,444680,0.44468,10acd9bf003053908d13480e3b32e85adea623ce208126ab9ff2f55e9f0ed608,True
warmup,0,34,35,level_000010/rep_029_seed_1430030072::step_0008,level_000010/rep_029_seed_1430030072,10,29,1430030072,7,8,step-0008-support-06,7,True,426709,0.426709,428729,0.428729,5f7821c2aff12e2d33da03fb245e675a470f3680e3e266ec4c8d5e75a95af95a,True
warmup,0,35,36,level_000020/rep_029_seed_1430030072::step_0012,level_000020/rep_029_seed_1430030072,20,29,1430030072,11,12,step-0012-noise-wrong_measure,11,True,206975,0.206975,209473,0.209473,084d5f805c6e3a3733d8cc0cc059709387729bc658d280da636d8471aa3193dd,True
warmup,0,36,37,level_000020/rep_029_seed_1430030072::step_0001,level_000020/rep_029_seed_1430030072,20,29,1430030072,0,1,step-0001-support-00,0,True,1008160,1.00816,854403,0.854403,930c59b9417f5ce9b8394b29159c679678fa22902894319975efd1276dff079a,True
warmup,0,37,38,level_000005/rep_029_seed_1430030072::step_0032,level_000005/rep_029_seed_1430030072,5,29,1430030072,31,32,step-0032-support-23,31,True,458117,0.458117,460460,0.46046,9da075c87547a412f4d54b084a2e0793b2639eac2f54a6a171e148c539b417ff,True
warmup,0,38,39,level_000010/rep_029_seed_1430030072::step_0009,level_000010/rep_029_seed_1430030072,10,29,1430030072,8,9,step-0009-support-07,8,True,429991,0.429991,431959,0.431959,e486390e19197107691b258ec0f465bcf2f8f26dc96cfa157b5faddd3289c373,True
warmup,0,39,40,level_000010/rep_029_seed_1430030072::step_0017,level_000010/rep_029_seed_1430030072,10,29,1430030072,16,17,step-0017-noise-missing_cube,16,True,554001,0.554001,559539,0.559539,c498a563e71df30f5cdaaa4b9d26e0cbccd8879729131f9c69e9515fadac6d6f,True
warmup,0,40,41,level_000005/rep_029_seed_1430030072::step_0018,level_000005/rep_029_seed_1430030072,5,29,1430030072,17,18,step-0018-support-14,17,True,434878,0.434878,436866,0.436866,fd5290c4565ad945a91977214919f83167291e9ae2abd17e11aa6996acb5c352,True
warmup,0,41,42,level_000005/rep_029_seed_1430030072::step_0009,level_000005/rep_029_seed_1430030072,5,29,1430030072,8,9,step-0009-support-07,8,True,428289,0.428289,430244,0.430244,15188daab66f2ae94850939d549790c5847dabafe6194fdffccd92aa5c8ba58d,True
warmup,0,42,43,level_000002/rep_029_seed_1430030072::step_0018,level_000002/rep_029_seed_1430030072,2,29,1430030072,17,18,step-0018-support-14,17,True,416608,0.416608,418610,0.41861,c012c8770ad2d776489dd8f870d9a1608619aa79c35b5abdcd376598f7327a1d,True
warmup,0,43,44,level_000001/rep_029_seed_1430030072::step_0022,level_000001/rep_029_seed_1430030072,1,29,1430030072,21,22,step-0022-support-16,21,True,718432,0.718432,724549,0.724549,74098852a9426b4c824699d06bb2d3bc0241a19b8f54c69f9ef96463674fc06f,True
