scenario_id,objective_id,dataset_id,dw_id,candidate_query_count,profile_id,target_category,target_state,complexity_level,virtual_node_depth,superposition_width,objective_file,scenario_file,validation_status
fm_a_sales_profit_month_beer_and_wine_wa,O_FM_A_SALES_PROFIT_MONTH_BEER_AND_WINE_WA,foodmart,foodmart,12,sales_profit_month,Beer and Wine,WA,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_beer_and_wine_wa.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_beer_and_wine_wa.json,pending_physical_execution
fm_a_sales_profit_month_beer_and_wine_ca,O_FM_A_SALES_PROFIT_MONTH_BEER_AND_WINE_CA,foodmart,foodmart,12,sales_profit_month,Beer and Wine,CA,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_beer_and_wine_ca.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_beer_and_wine_ca.json,pending_physical_execution
fm_a_sales_profit_month_beer_and_wine_or,O_FM_A_SALES_PROFIT_MONTH_BEER_AND_WINE_OR,foodmart,foodmart,12,sales_profit_month,Beer and Wine,OR,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_beer_and_wine_or.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_beer_and_wine_or.json,pending_physical_execution
fm_a_sales_profit_month_beer_and_wine_bc,O_FM_A_SALES_PROFIT_MONTH_BEER_AND_WINE_BC,foodmart,foodmart,12,sales_profit_month,Beer and Wine,BC,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_beer_and_wine_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_beer_and_wine_bc.json,pending_physical_execution
fm_a_sales_profit_month_dairy_wa,O_FM_A_SALES_PROFIT_MONTH_DAIRY_WA,foodmart,foodmart,12,sales_profit_month,Dairy,WA,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_dairy_wa.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_dairy_wa.json,pending_physical_execution
fm_a_sales_profit_month_dairy_ca,O_FM_A_SALES_PROFIT_MONTH_DAIRY_CA,foodmart,foodmart,12,sales_profit_month,Dairy,CA,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_dairy_ca.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_dairy_ca.json,pending_physical_execution
fm_a_sales_profit_month_dairy_or,O_FM_A_SALES_PROFIT_MONTH_DAIRY_OR,foodmart,foodmart,12,sales_profit_month,Dairy,OR,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_dairy_or.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_dairy_or.json,pending_physical_execution
fm_a_sales_profit_month_dairy_bc,O_FM_A_SALES_PROFIT_MONTH_DAIRY_BC,foodmart,foodmart,12,sales_profit_month,Dairy,BC,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_dairy_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_dairy_bc.json,pending_physical_execution
fm_a_sales_profit_month_produce_wa,O_FM_A_SALES_PROFIT_MONTH_PRODUCE_WA,foodmart,foodmart,12,sales_profit_month,Produce,WA,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_produce_wa.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_produce_wa.json,pending_physical_execution
fm_a_sales_profit_month_produce_ca,O_FM_A_SALES_PROFIT_MONTH_PRODUCE_CA,foodmart,foodmart,12,sales_profit_month,Produce,CA,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_produce_ca.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_produce_ca.json,pending_physical_execution
