scenario_id,objective_id,dataset_id,dw_id,candidate_query_count,profile_id,target_category,target_state,complexity_level,virtual_node_depth,superposition_width,objective_file,scenario_file,validation_status,state,category,profile,runtime_feasible_status,exclusion_reason
fm_a_sales_profit_month_beer_and_wine_bc,O_FM_A_SALES_PROFIT_MONTH_BEER_AND_WINE_BC,foodmart,foodmart,12,sales_profit_month,Beer and Wine,BC,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_beer_and_wine_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_beer_and_wine_bc.json,pending_physical_execution,BC,beer_and_wine,sales_profit_month,excluded_positive_target_state,BC is not runtime-feasible as a positive FoodMart target state
fm_a_sales_profit_month_dairy_bc,O_FM_A_SALES_PROFIT_MONTH_DAIRY_BC,foodmart,foodmart,12,sales_profit_month,Dairy,BC,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_dairy_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_dairy_bc.json,pending_physical_execution,BC,dairy,sales_profit_month,excluded_positive_target_state,BC is not runtime-feasible as a positive FoodMart target state
fm_a_sales_profit_month_produce_bc,O_FM_A_SALES_PROFIT_MONTH_PRODUCE_BC,foodmart,foodmart,12,sales_profit_month,Produce,BC,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_produce_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_produce_bc.json,pending_physical_execution,BC,produce,sales_profit_month,excluded_positive_target_state,BC is not runtime-feasible as a positive FoodMart target state
fm_a_sales_profit_month_snack_foods_bc,O_FM_A_SALES_PROFIT_MONTH_SNACK_FOODS_BC,foodmart,foodmart,12,sales_profit_month,Snack Foods,BC,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_snack_foods_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_snack_foods_bc.json,pending_physical_execution,BC,snack_foods,sales_profit_month,excluded_positive_target_state,BC is not runtime-feasible as a positive FoodMart target state
fm_a_sales_profit_month_canned_foods_bc,O_FM_A_SALES_PROFIT_MONTH_CANNED_FOODS_BC,foodmart,foodmart,12,sales_profit_month,Canned Foods,BC,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_canned_foods_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_canned_foods_bc.json,pending_physical_execution,BC,canned_foods,sales_profit_month,excluded_positive_target_state,BC is not runtime-feasible as a positive FoodMart target state
fm_a_sales_profit_month_frozen_foods_bc,O_FM_A_SALES_PROFIT_MONTH_FROZEN_FOODS_BC,foodmart,foodmart,12,sales_profit_month,Frozen Foods,BC,1,1,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_sales_profit_month_frozen_foods_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_sales_profit_month_frozen_foods_bc.json,pending_physical_execution,BC,frozen_foods,sales_profit_month,excluded_positive_target_state,BC is not runtime-feasible as a positive FoodMart target state
fm_a_unit_sales_month_beer_and_wine_bc,O_FM_A_UNIT_SALES_MONTH_BEER_AND_WINE_BC,foodmart,foodmart,12,unit_sales_month,Beer and Wine,BC,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_beer_and_wine_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_beer_and_wine_bc.json,pending_physical_execution,BC,beer_and_wine,unit_sales_month,excluded_positive_target_state,BC is not runtime-feasible as a positive FoodMart target state
fm_a_unit_sales_month_dairy_bc,O_FM_A_UNIT_SALES_MONTH_DAIRY_BC,foodmart,foodmart,12,unit_sales_month,Dairy,BC,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_dairy_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_dairy_bc.json,pending_physical_execution,BC,dairy,unit_sales_month,excluded_positive_target_state,BC is not runtime-feasible as a positive FoodMart target state
fm_a_unit_sales_month_produce_bc,O_FM_A_UNIT_SALES_MONTH_PRODUCE_BC,foodmart,foodmart,12,unit_sales_month,Produce,BC,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_produce_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_produce_bc.json,pending_physical_execution,BC,produce,unit_sales_month,excluded_positive_target_state,BC is not runtime-feasible as a positive FoodMart target state
fm_a_unit_sales_month_snack_foods_bc,O_FM_A_UNIT_SALES_MONTH_SNACK_FOODS_BC,foodmart,foodmart,12,unit_sales_month,Snack Foods,BC,2,2,1,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_unit_sales_month_snack_foods_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_unit_sales_month_snack_foods_bc.json,pending_physical_execution,BC,snack_foods,unit_sales_month,excluded_positive_target_state,BC is not runtime-feasible as a positive FoodMart target state
