scenario_type;policy;n_sessions;mean_phi_final;mean_auc_phi;mean_false_allow_rate;mean_false_block_rate;mean_non_contrib_exec_rate;mean_time_to_0_8
adversarial_sat;ablation_ceval_any_intersection;60;0.333333;0.055556;0.0;0.0;0.0;0.0
adversarial_sat;ablation_no_real;60;0.333333;0.055556;0.0;0.0;0.0;0.0
adversarial_sat;ablation_no_sat;60;0.333333;0.055556;0.166667;0.0;0.5;0.0
adversarial_sat;baseline_measure_overlap;60;0.333333;0.055556;0.666667;0.0;0.8;0.0
adversarial_sat;baseline_naive;60;0.333333;0.055556;0.833333;0.0;0.833333;0.0
adversarial_sat;baseline_random_matched;60;0.1;0.016667;0.255556;0.116667;0.791667;0.0
adversarial_sat;mcad;60;0.333333;0.055556;0.0;0.0;0.0;0.0
adversarial_semantic;ablation_ceval_any_intersection;60;0.333333;0.066667;0.2;0.0;0.5;0.0
adversarial_semantic;ablation_no_real;60;0.333333;0.066667;0.2;0.0;0.5;0.0
adversarial_semantic;ablation_no_sat;60;0.333333;0.066667;0.0;0.0;0.0;0.0
adversarial_semantic;baseline_measure_overlap;60;0.333333;0.066667;0.6;0.0;0.75;0.0
adversarial_semantic;baseline_naive;60;0.333333;0.066667;0.8;0.0;0.8;0.0
adversarial_semantic;baseline_random_matched;60;0.066667;0.013333;0.253333;0.16;0.666667;0.0
adversarial_semantic;mcad;60;0.333333;0.066667;0.0;0.0;0.0;0.0
noisy_borderline;ablation_ceval_any_intersection;60;0.333333;0.083333;0.0;0.0;0.0;0.0
noisy_borderline;ablation_no_real;60;0.333333;0.083333;0.0;0.0;0.0;0.0
noisy_borderline;ablation_no_sat;60;0.333333;0.083333;0.0;0.0;0.0;0.0
noisy_borderline;baseline_measure_overlap;60;0.333333;0.083333;0.75;0.0;0.75;0.0
noisy_borderline;baseline_naive;60;0.333333;0.083333;0.75;0.0;0.75;0.0
noisy_borderline;baseline_random_matched;60;0.111111;0.027778;0.191667;0.166667;0.577778;0.0
noisy_borderline;mcad;60;0.333333;0.083333;0.0;0.0;0.0;0.0
stress_long;ablation_ceval_any_intersection;60;1.0;0.375;0.125;0.0;0.25;8.0
stress_long;ablation_no_real;60;1.0;0.375;0.125;0.0;0.25;8.0
stress_long;ablation_no_sat;60;1.0;0.375;0.0;0.0;0.0;8.0
stress_long;baseline_measure_overlap;60;1.0;0.375;0.625;0.0;0.625;8.0
stress_long;baseline_naive;60;1.0;0.375;0.625;0.0;0.625;8.0
stress_long;baseline_random_matched;60;0.2;0.072222;0.145833;0.3;0.566111;8.0
stress_long;mcad;60;1.0;0.375;0.0;0.0;0.0;8.0
