factor,factor_level,observation_count,p50_ms,p95_ms,p99_ms,p95_over_p50,p99_over_p50,source,interpretation
constraint_count,2,4000,0.665984500,1.282170450,1.460577100,1.925226,2.193110,experiments/article/frozen_campaigns/sa3_constraint_count_stage20/archive/constraint_count_stage20_canonical_20260801T203621Z.tar.gz::./repository_snapshot/reports/article_experiments/sensitivity/e3_controlled_execution/planning/aggregates/constraint_count_nv24_stage20/formal_timing/formal_timing_observations.csv,DESCRIPTIVE_EXISTING_MEASUREMENTS_NO_NEW_EXECUTION
constraint_count,4,4000,0.508052500,0.955526000,1.234782140,1.880762,2.430422,experiments/article/frozen_campaigns/sa3_constraint_count_stage20/archive/constraint_count_stage20_canonical_20260801T203621Z.tar.gz::./repository_snapshot/reports/article_experiments/sensitivity/e3_controlled_execution/planning/aggregates/constraint_count_nv24_stage20/formal_timing/formal_timing_observations.csv,DESCRIPTIVE_EXISTING_MEASUREMENTS_NO_NEW_EXECUTION
constraint_count,8,4000,0.446426000,0.828523050,0.910815110,1.855902,2.040238,experiments/article/frozen_campaigns/sa3_constraint_count_stage20/archive/constraint_count_stage20_canonical_20260801T203621Z.tar.gz::./repository_snapshot/reports/article_experiments/sensitivity/e3_controlled_execution/planning/aggregates/constraint_count_nv24_stage20/formal_timing/formal_timing_observations.csv,DESCRIPTIVE_EXISTING_MEASUREMENTS_NO_NEW_EXECUTION
constraint_count,12,4000,0.465042500,0.879549300,1.059646510,1.891331,2.278601,experiments/article/frozen_campaigns/sa3_constraint_count_stage20/archive/constraint_count_stage20_canonical_20260801T203621Z.tar.gz::./repository_snapshot/reports/article_experiments/sensitivity/e3_controlled_execution/planning/aggregates/constraint_count_nv24_stage20/formal_timing/formal_timing_observations.csv,DESCRIPTIVE_EXISTING_MEASUREMENTS_NO_NEW_EXECUTION
constraint_count,16,4000,0.468929500,0.883725400,1.042779530,1.884559,2.223745,experiments/article/frozen_campaigns/sa3_constraint_count_stage20/archive/constraint_count_stage20_canonical_20260801T203621Z.tar.gz::./repository_snapshot/reports/article_experiments/sensitivity/e3_controlled_execution/planning/aggregates/constraint_count_nv24_stage20/formal_timing/formal_timing_observations.csv,DESCRIPTIVE_EXISTING_MEASUREMENTS_NO_NEW_EXECUTION
virtual_node_count,6,2000,0.336554500,0.592865900,0.648839450,1.761575,1.927888,reports/article_experiments/sensitivity/e3_controlled_execution/audits/virtual_node_count_stage10/precision_analysis/stage10_measurement_observations.csv,DESCRIPTIVE_EXISTING_MEASUREMENTS_NO_NEW_EXECUTION
virtual_node_count,12,2000,0.391725000,0.708354250,0.867912260,1.808295,2.215616,reports/article_experiments/sensitivity/e3_controlled_execution/audits/virtual_node_count_stage10/precision_analysis/stage10_measurement_observations.csv,DESCRIPTIVE_EXISTING_MEASUREMENTS_NO_NEW_EXECUTION
virtual_node_count,24,2000,0.522252000,0.962429950,1.146387570,1.842846,2.195085,reports/article_experiments/sensitivity/e3_controlled_execution/audits/virtual_node_count_stage10/precision_analysis/stage10_measurement_observations.csv,DESCRIPTIVE_EXISTING_MEASUREMENTS_NO_NEW_EXECUTION
membership_density,25,23000,0.456053500,0.897460100,1.084993700,1.967883,2.379093,reports/article_experiments/sensitivity/e3_controlled_execution/audits/membership_density/timing_stage10/precision_analysis/stage10_portfolio_measurement_observations.csv,DESCRIPTIVE_EXISTING_MEASUREMENTS_NO_NEW_EXECUTION
membership_density,50,23000,0.459503500,0.907403400,1.103973490,1.974748,2.402536,reports/article_experiments/sensitivity/e3_controlled_execution/audits/membership_density/timing_stage10/precision_analysis/stage10_portfolio_measurement_observations.csv,DESCRIPTIVE_EXISTING_MEASUREMENTS_NO_NEW_EXECUTION
membership_density,75,23000,0.462777000,0.910817300,1.115477590,1.968156,2.410400,reports/article_experiments/sensitivity/e3_controlled_execution/audits/membership_density/timing_stage10/precision_analysis/stage10_portfolio_measurement_observations.csv,DESCRIPTIVE_EXISTING_MEASUREMENTS_NO_NEW_EXECUTION
membership_density,100,23000,0.465190000,0.916927200,1.137793530,1.971081,2.445868,reports/article_experiments/sensitivity/e3_controlled_execution/audits/membership_density/timing_stage10/precision_analysis/stage10_portfolio_measurement_observations.csv,DESCRIPTIVE_EXISTING_MEASUREMENTS_NO_NEW_EXECUTION
