session_id,split,topology,pattern,candidates,permissive_executed,safe_executed,strict_executed,safe_pruned,safe_rejected_inadmissible,safe_fail_open_exec,safe_false_prunes,phi_final_permissive,phi_final_safe,phi_final_strict,objective_preserved,strict_completion_loss,first_full_phi_candidate_permissive,first_full_phi_candidate_safe,first_full_phi_backend_exec_permissive,first_full_phi_backend_exec_safe
NH2-SINGLE-ORDERED-R001,dev,SINGLE,ORDERED,24,22,3,3,19,2,0,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
NH2-SINGLE-ORDERED-R002,dev,SINGLE,ORDERED,24,22,4,4,18,2,2,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
NH2-SINGLE-ORDERED-R003,dev,SINGLE,ORDERED,24,22,5,5,17,2,2,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
NH2-SINGLE-ORDERED-R004,dev,SINGLE,ORDERED,24,22,4,4,18,2,2,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
NH2-SINGLE-ORDERED-R005,dev,SINGLE,ORDERED,24,22,4,4,18,2,1,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
NH2-SINGLE-ORDERED-R006,dev,SINGLE,ORDERED,24,22,3,3,19,2,1,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
NH2-SINGLE-ORDERED-R007,dev,SINGLE,ORDERED,24,22,3,3,19,2,0,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
NH2-SINGLE-ORDERED-R008,dev,SINGLE,ORDERED,24,22,5,5,17,2,2,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
NH2-SINGLE-ORDERED-R009,dev,SINGLE,ORDERED,24,22,3,3,19,2,0,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
NH2-SINGLE-ORDERED-R010,dev,SINGLE,ORDERED,24,22,3,3,19,2,0,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
NH2-SINGLE-ORDERED-R011,dev,SINGLE,ORDERED,24,22,4,4,18,2,1,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
NH2-SINGLE-ORDERED-R012,dev,SINGLE,ORDERED,24,22,3,3,19,2,0,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
NH2-SINGLE-ORDERED-R013,dev,SINGLE,ORDERED,24,22,3,3,19,2,0,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
NH2-SINGLE-ORDERED-R014,dev,SINGLE,ORDERED,24,22,4,4,18,2,1,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
NH2-SINGLE-ORDERED-R015,dev,SINGLE,ORDERED,24,22,4,4,18,2,1,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
NH2-SINGLE-ORDERED-R016,dev,SINGLE,ORDERED,24,22,3,3,19,2,0,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
NH2-SINGLE-ORDERED-R017,dev,SINGLE,ORDERED,24,22,4,4,18,2,1,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
NH2-SINGLE-ORDERED-R018,dev,SINGLE,ORDERED,24,22,4,4,18,2,1,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
NH2-SINGLE-ORDERED-R019,dev,SINGLE,ORDERED,24,22,4,4,18,2,3,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
NH2-SINGLE-ORDERED-R020,dev,SINGLE,ORDERED,24,22,5,5,17,2,2,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
NH2-SINGLE-ORDERED-R021,dev,SINGLE,ORDERED,24,22,4,4,18,2,1,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
NH2-SINGLE-ORDERED-R022,dev,SINGLE,ORDERED,24,22,4,4,18,2,1,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
NH2-SINGLE-ORDERED-R023,dev,SINGLE,ORDERED,24,22,3,3,19,2,1,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
NH2-SINGLE-ORDERED-R024,dev,SINGLE,ORDERED,24,22,5,5,17,2,2,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
NH2-SINGLE-ORDERED-R025,dev,SINGLE,ORDERED,24,22,4,4,18,2,2,0,1.000000000000,1.000000000000,1.000000000000,true,false,3,3,3,3
