split,topology,pattern,sessions,safe_pruned,strict_loss
dev,ALTERNATIVE,DISTRACTOR_HEAVY,30,552,0
dev,ALTERNATIVE,MIXED_SAT,30,460,0
dev,ALTERNATIVE,ORDERED,30,456,0
dev,ALTERNATIVE,OUT_OF_ORDER,30,542,0
dev,ALTERNATIVE,OVERLAP,30,486,0
dev,MULTI2,DISTRACTOR_HEAVY,30,483,0
dev,MULTI2,MIXED_SAT,30,385,0
dev,MULTI2,ORDERED,30,460,0
dev,MULTI2,OUT_OF_ORDER,30,452,0
dev,MULTI2,OVERLAP,30,477,0
dev,OVERLAP,DISTRACTOR_HEAVY,30,494,27
dev,OVERLAP,MIXED_SAT,30,406,26
dev,OVERLAP,ORDERED,30,488,23
dev,OVERLAP,OUT_OF_ORDER,30,483,25
dev,OVERLAP,OVERLAP,30,490,26
dev,SINGLE,DISTRACTOR_HEAVY,30,553,0
dev,SINGLE,MIXED_SAT,30,457,0
dev,SINGLE,ORDERED,30,548,0
dev,SINGLE,OUT_OF_ORDER,30,541,0
dev,SINGLE,OVERLAP,30,549,0
test,ALTERNATIVE,DISTRACTOR_HEAVY,15,270,0
test,ALTERNATIVE,MIXED_SAT,15,232,0
test,ALTERNATIVE,ORDERED,15,232,0
test,ALTERNATIVE,OUT_OF_ORDER,15,266,0
test,ALTERNATIVE,OVERLAP,15,236,0
test,MULTI2,DISTRACTOR_HEAVY,15,245,0
test,MULTI2,MIXED_SAT,15,201,0
test,MULTI2,ORDERED,15,230,0
test,MULTI2,OUT_OF_ORDER,15,224,0
test,MULTI2,OVERLAP,15,233,0
test,OVERLAP,DISTRACTOR_HEAVY,15,243,13
test,OVERLAP,MIXED_SAT,15,205,11
test,OVERLAP,ORDERED,15,239,13
test,OVERLAP,OUT_OF_ORDER,15,247,12
test,OVERLAP,OVERLAP,15,243,13
test,SINGLE,DISTRACTOR_HEAVY,15,276,0
test,SINGLE,MIXED_SAT,15,221,0
test,SINGLE,ORDERED,15,270,0
test,SINGLE,OUT_OF_ORDER,15,272,0
test,SINGLE,OVERLAP,15,275,0
val,ALTERNATIVE,DISTRACTOR_HEAVY,15,269,0
val,ALTERNATIVE,MIXED_SAT,15,234,0
val,ALTERNATIVE,ORDERED,15,226,0
val,ALTERNATIVE,OUT_OF_ORDER,15,266,0
val,ALTERNATIVE,OVERLAP,15,245,0
val,MULTI2,DISTRACTOR_HEAVY,15,243,0
val,MULTI2,MIXED_SAT,15,187,0
val,MULTI2,ORDERED,15,232,0
val,MULTI2,OUT_OF_ORDER,15,231,0
val,MULTI2,OVERLAP,15,234,0
val,OVERLAP,DISTRACTOR_HEAVY,15,246,12
val,OVERLAP,MIXED_SAT,15,208,15
val,OVERLAP,ORDERED,15,241,15
val,OVERLAP,OUT_OF_ORDER,15,245,11
val,OVERLAP,OVERLAP,15,250,14
val,SINGLE,DISTRACTOR_HEAVY,15,278,0
val,SINGLE,MIXED_SAT,15,228,0
val,SINGLE,ORDERED,15,272,0
val,SINGLE,OUT_OF_ORDER,15,270,0
val,SINGLE,OVERLAP,15,269,0
