factor,factor_level,step_index,structural_seed_count,measurements_per_seed,observation_count,bootstrap_repetitions,bootstrap_seed,confidence_level,point_median_ms,median_ci_lower_ms,median_ci_upper_ms,median_relative_half_width,point_p95_ms,p95_ci_lower_ms,p95_ci_upper_ms,p95_relative_half_width,maximum_leave_one_seed_out_median_relative_change,maximum_leave_one_seed_out_p95_relative_change,median_precision_target,p95_precision_target,median_target_met,p95_target_met,all_cell_targets_met
objective_count,1,1,10,100,1000,10000,20270828,0.95,0.528119,0.49438150000000003,0.537411,0.04073845099305265,0.9670846999999998,0.8486863499999998,1.002825,0.07969242507920987,0.006932149761701483,0.025830105677403386,0.1,0.15,True,True,True
objective_count,1,2,10,100,1000,10000,20270928,0.95,0.4703965,0.460161,0.47608,0.01692083168135819,0.9206219499999997,0.8320886,0.9451316499999995,0.061394935239160675,0.004784261787662086,0.010983281465318,0.1,0.15,True,True,True
objective_count,1,3,10,100,1000,10000,20271028,0.95,0.4534745,0.4420316125,0.458466,0.018120520007188917,0.8661510999999998,0.767167,0.905727,0.07998604400548584,0.0037333962549162083,0.027991074536532823,0.1,0.15,True,True,True
objective_count,1,4,10,100,1000,10000,20271128,0.95,0.44676499999999997,0.4371793375,0.4512135,0.01570642563763948,0.8553683,0.777928,0.8810692499999998,0.060290549696545834,0.00354436896354898,0.010987839974897308,0.1,0.15,True,True,True
objective_count,1,5,10,100,1000,10000,20271228,0.95,0.4483645,0.43923453749999997,0.456366,0.01910439218537599,0.8742654999999999,0.782155,0.897472,0.06595078954848385,0.004324606430705429,0.011821923660489925,0.1,0.15,True,True,True
objective_count,1,6,10,100,1000,10000,20271328,0.95,0.44588649999999996,0.41276250000000003,0.4558145,0.048276859694114965,0.8832779999999999,0.6292069999999998,0.907269,0.1574034448950388,0.008904732482369365,0.020250815711474683,0.1,0.15,True,False,False
objective_count,1,7,10,100,1000,10000,20271428,0.95,0.43645599999999996,0.4139485,0.44383606249999996,0.0342389181269131,0.83713995,0.7397639937499997,0.87081,0.07827007076295922,0.00585969719742665,0.043109398852605264,0.1,0.15,True,True,True
objective_count,1,8,10,100,1000,10000,20271528,0.95,0.4426505,0.4320215,0.455207,0.026189397730263457,0.8627495499999999,0.82573155,0.8980024,0.04188402648254062,0.00746751669771076,0.014320784056044922,0.1,0.15,True,True,True
objective_count,1,9,10,100,1000,10000,20271628,0.95,0.4375525,0.404525,0.4541535625,0.056711551756646314,0.8386407499999999,0.6885913999999999,0.8883464999999998,0.11909455866531646,0.007424251946909199,0.03234990667934984,0.1,0.15,True,True,True
objective_count,1,10,10,100,1000,10000,20271728,0.95,0.4492625,0.426585,0.4571175,0.03398069057622216,0.8672608999999999,0.794225,0.8991244,0.06047741804109934,0.005935282824629289,0.021068285218438756,0.1,0.15,True,True,True
