factor,factor_level,step_index,structural_seed_count,measurements_per_seed,observation_count,bootstrap_repetitions,bootstrap_seed,confidence_level,point_median_ms,median_ci_lower_ms,median_ci_upper_ms,median_relative_half_width,point_p95_ms,p95_ci_lower_ms,p95_ci_upper_ms,p95_relative_half_width,maximum_leave_one_seed_out_median_relative_change,maximum_leave_one_seed_out_p95_relative_change,median_precision_target,p95_precision_target,median_target_met,p95_target_met,all_cell_targets_met
objective_count,1,1,20,100,2000,10000,20270828,0.95,0.523875,0.5066627499999999,0.5331493749999999,0.025279527559055107,0.9253389999999999,0.845627,0.9751623499999998,0.06999345645217582,0.004016225244571691,0.03062369574826092,0.1,0.15,True,True,True
objective_count,1,2,20,100,2000,10000,20270928,0.95,0.4647425,0.4570565,0.470959,0.014957207485865872,0.8630922999999997,0.7837153537499999,0.9114260999999999,0.0739844083014065,0.002639095843397072,0.03414061277107889,0.1,0.15,True,True,True
objective_count,1,3,20,100,2000,10000,20271028,0.95,0.44863200000000003,0.43572900000000003,0.455774,0.022340136236380797,0.8288406,0.7673646662499999,0.87052,0.062228692555601206,0.004252928903867804,0.03278772782124837,0.1,0.15,True,True,True
objective_count,1,4,20,100,2000,10000,20271128,0.95,0.444996,0.434642675,0.450619275,0.01795139731593094,0.8198576499999999,0.767992,0.857428,0.05454361497999072,0.0028269917032962923,0.01941221137596257,0.1,0.15,True,True,True
objective_count,1,5,20,100,2000,10000,20271228,0.95,0.440732,0.43215875000000004,0.44745334999999997,0.017351360917745858,0.83450495,0.7700139500000001,0.872611,0.061471804331418266,0.0030993891979705997,0.03881325089803248,0.1,0.15,True,True,True
objective_count,1,6,20,100,2000,10000,20271328,0.95,0.4325155,0.41167750000000003,0.446956,0.040782931478756244,0.81015365,0.7161220500000001,0.8827393499999998,0.10283067909402109,0.00857079110459616,0.031091633050101212,0.1,0.15,True,True,True
objective_count,1,7,20,100,2000,10000,20271428,0.95,0.43317649999999996,0.4175951875,0.44209350000000003,0.02827751794014681,0.7858375999999999,0.7394737687499999,0.84411995,0.0665825745993829,0.005137628657140892,0.014263761367488543,0.1,0.15,True,True,True
objective_count,1,8,20,100,2000,10000,20271528,0.95,0.43624850000000004,0.4223594,0.442892,0.023533146818842943,0.83620895,0.7672711999999999,0.8673380999999999,0.059833669563091836,0.003444137916806504,0.009999235238991527,0.1,0.15,True,True,True
objective_count,1,9,20,100,2000,10000,20271628,0.95,0.43050299999999997,0.412524,0.439515,0.031348213601298934,0.7941545499999999,0.7108368537499997,0.849087,0.08704234348968996,0.006286831915224879,0.032478438863065145,0.1,0.15,True,True,True
objective_count,1,10,20,100,2000,10000,20271728,0.95,0.434031,0.412589625,0.448415,0.04127052560761788,0.8088141999999998,0.74194865,0.863606,0.0752072292993867,0.006765645771845809,0.038971064058964326,0.1,0.15,True,True,True
