formal_replication_index,formal_structural_seed,formal_order_seed,phase,phase_round,order_position,observation_index,cell_id,canonical_instance_id,factor_level,replication_index,seed,step_position,step_index,step_id,prefix_step_count,fresh_state,wall_latency_ns,wall_latency_ms,cpu_latency_ns,cpu_latency_ms,semantic_digest,semantic_match
0,101,20260728,measurement,0,0,61,level_000024/rep_000_seed_101::step_0002,level_000024/rep_000_seed_101,24,0,101,1,2,step-0002-sales-sum-region-06-2017,1,True,868254,0.868254,872561,0.872561,46f337445dbb84526e62d2ae8db3379ef88452336e8de51ca4ea4c2be0f99a92,True
0,101,20260728,measurement,0,1,62,level_000012/rep_000_seed_101::step_0001,level_000012/rep_000_seed_101,12,0,101,0,1,step-0001-sales-sum-region-04-2018,0,True,391022,0.391022,393097,0.393097,0ac4eae0427cb78144e121dcad7d34f1d5bf8ce5eb9a4eff12efbad739b752f2,True
0,101,20260728,measurement,0,2,63,level_000006/rep_000_seed_101::step_0001,level_000006/rep_000_seed_101,6,0,101,0,1,step-0001-sales-sum-region-04-2018,0,True,335849,0.335849,337997,0.337997,11c096270f44fd8fcd1af9358779957aa1b7a59d246241acb52c62f98ad080ea,True
0,101,20260728,measurement,0,3,64,level_000024/rep_000_seed_101::step_0001,level_000024/rep_000_seed_101,24,0,101,0,1,step-0001-sales-sum-region-04-2018,0,True,541427,0.541427,544023,0.544023,0416b20858d6c23029ac99424bc410d8730ba0626b3d5201ec8182cf73943091,True
0,101,20260728,measurement,0,4,65,level_000012/rep_000_seed_101::step_0002,level_000012/rep_000_seed_101,12,0,101,1,2,step-0002-sales-sum-region-06-2017,1,True,358973,0.358973,361476,0.361476,9b528a234ae051d4dda725f1795cdb1c49674610190a8d91407cc5eef8c3f11f,True
0,101,20260728,measurement,0,5,66,level_000006/rep_000_seed_101::step_0002,level_000006/rep_000_seed_101,6,0,101,1,2,step-0002-sales-sum-region-06-2017,1,True,288620,0.28862,291237,0.291237,c4e139b919430c25a0e931ff0e306c0ade1547ed83d9af5dd0d9f38f16bd05ab,True
0,101,20260728,measurement,1,0,67,level_000012/rep_000_seed_101::step_0001,level_000012/rep_000_seed_101,12,0,101,0,1,step-0001-sales-sum-region-04-2018,0,True,391778,0.391778,394146,0.394146,0ac4eae0427cb78144e121dcad7d34f1d5bf8ce5eb9a4eff12efbad739b752f2,True
0,101,20260728,measurement,1,1,68,level_000006/rep_000_seed_101::step_0001,level_000006/rep_000_seed_101,6,0,101,0,1,step-0001-sales-sum-region-04-2018,0,True,338732,0.338732,340907,0.340907,11c096270f44fd8fcd1af9358779957aa1b7a59d246241acb52c62f98ad080ea,True
0,101,20260728,measurement,1,2,69,level_000024/rep_000_seed_101::step_0001,level_000024/rep_000_seed_101,24,0,101,0,1,step-0001-sales-sum-region-04-2018,0,True,561984,0.561984,564696,0.564696,0416b20858d6c23029ac99424bc410d8730ba0626b3d5201ec8182cf73943091,True
0,101,20260728,measurement,1,3,70,level_000012/rep_000_seed_101::step_0002,level_000012/rep_000_seed_101,12,0,101,1,2,step-0002-sales-sum-region-06-2017,1,True,614224,0.614224,618327,0.618327,9b528a234ae051d4dda725f1795cdb1c49674610190a8d91407cc5eef8c3f11f,True
