factor_level,formal_replication_index,formal_structural_seed,step_index,wall_latency_ms
20,0,101,23,0.446824
2,0,101,9,0.449808
2,0,101,31,0.257816
50,0,101,25,0.278733
20,0,101,19,0.209665
5,0,101,7,0.443035
50,0,101,26,0.453969
1,0,101,8,0.453814
10,0,101,2,0.49277
5,0,101,30,0.716149
10,0,101,16,0.446672
1,0,101,6,0.491712
50,0,101,32,0.450603
10,0,101,22,0.452967
20,0,101,16,0.453729
2,0,101,28,0.452685
10,0,101,29,0.125811
50,0,101,20,0.440202
50,0,101,24,0.441407
1,0,101,15,0.454826
20,0,101,14,0.476062
2,0,101,23,0.233292
1,0,101,1,0.500413
10,0,101,31,0.259617
5,0,101,19,0.365469
1,0,101,10,0.774425
10,0,101,23,0.22514
10,0,101,13,0.306812
1,0,101,7,1.415752
1,0,101,18,0.44455
5,0,101,20,0.4511
10,0,101,5,0.45041
50,0,101,23,0.226971
10,0,101,30,0.453253
10,0,101,8,0.833693
20,0,101,12,0.451357
20,0,101,1,0.539691
5,0,101,32,0.444496
10,0,101,9,0.443178
10,0,101,17,0.46204
5,0,101,18,0.473397
5,0,101,9,0.434429
2,0,101,18,0.440682
1,0,101,22,0.441696
5,0,101,16,0.44573
2,0,101,21,1.203322
10,0,101,32,0.437207
20,0,101,7,0.82054
50,0,101,5,0.809666
1,0,101,23,0.227316
2,0,101,25,0.277287
50,0,101,18,0.444445
1,0,101,16,0.450913
50,0,101,21,0.468316
20,0,101,17,0.228736
5,0,101,28,0.449354
50,0,101,11,0.441434
20,0,101,31,0.254247
5,0,101,13,0.32456
5,0,101,15,0.833519
1,0,101,4,0.456623
2,0,101,11,0.443343
50,0,101,6,0.467092
20,0,101,9,0.446609
2,0,101,12,0.440532
5,0,101,14,0.446621
2,0,101,3,0.460433
50,0,101,12,0.456381
5,0,101,8,0.439129
5,0,101,1,0.529179
50,0,101,22,0.447992
1,0,101,20,0.442397
20,0,101,11,0.456609
2,0,101,14,0.430093
1,0,101,26,0.445044
50,0,101,27,0.465007
50,0,101,3,0.460845
10,0,101,14,0.444827
50,0,101,1,0.53594
10,0,101,1,0.560448
5,0,101,29,0.120931
2,0,101,16,0.442334
2,0,101,20,0.447074
5,0,101,4,0.454395
2,0,101,30,0.515946
50,0,101,8,0.442513
1,0,101,3,0.457241
1,0,101,19,0.419589
20,0,101,20,0.459109
1,0,101,32,0.447737
1,0,101,17,0.225441
2,0,101,22,0.445837
20,0,101,30,0.454096
20,0,101,25,0.279631
1,0,101,21,0.503477
10,0,101,28,0.449703
10,0,101,3,0.45609
20,0,101,15,0.455517
50,0,101,17,0.226337
2,0,101,27,0.466734
1,0,101,28,0.972409
10,0,101,11,0.447927
1,0,101,31,0.489399
2,0,101,15,0.855028
5,0,101,10,0.80533
20,0,101,4,0.449074
50,0,101,2,0.476996
5,0,101,22,0.456677
2,0,101,13,0.31217
10,0,101,21,0.467047
1,0,101,9,0.836793
1,0,101,24,0.912657
20,0,101,3,0.466612
50,0,101,15,0.450744
5,0,101,5,0.44542
20,0,101,8,0.446867
5,0,101,31,0.253037
1,0,101,14,0.437154
2,0,101,2,0.932612
50,0,101,28,0.467284
10,0,101,12,0.44179
50,0,101,16,0.439781
10,0,101,19,0.20846
20,0,101,6,0.51409
5,0,101,17,0.406898
50,0,101,30,0.461955
2,0,101,32,0.451145
10,0,101,25,0.280001
50,0,101,10,0.4457
1,0,101,13,0.309238
2,0,101,19,0.211376
20,0,101,28,0.851994
5,0,101,24,0.441146
5,0,101,25,0.276507
10,0,101,7,0.87128
50,0,101,31,0.279138
1,0,101,30,0.642726
50,0,101,7,0.446087
10,0,101,18,0.445129
5,0,101,27,0.464308
2,0,101,10,0.439043
5,0,101,26,0.451259
2,0,101,24,0.472665
10,0,101,6,1.010467
20,0,101,32,0.461544
5,0,101,2,0.47943
20,0,101,29,0.216148
20,0,101,27,0.469473
20,0,101,21,0.452838
10,0,101,15,0.516181
2,0,101,1,0.508261
20,0,101,2,0.475543
20,0,101,26,0.439416
2,0,101,26,0.44433
10,0,101,10,0.447667
20,0,101,5,0.439213
2,0,101,4,0.479112
20,0,101,10,0.77264
5,0,101,12,0.447838
1,0,101,11,0.883843
1,0,101,25,0.279082
1,0,101,5,0.44667
2,0,101,7,0.439252
5,0,101,21,0.459001
50,0,101,13,0.324093
5,0,101,3,0.465248
50,0,101,29,0.121327
20,0,101,13,0.320421
1,0,101,2,0.92807
50,0,101,14,0.445277
2,0,101,17,0.422482
50,0,101,19,0.211551
5,0,101,11,0.446318
2,0,101,29,0.120327
5,0,101,6,0.45993
2,0,101,6,0.925449
1,0,101,12,0.449365
10,0,101,4,0.915018
1,0,101,29,0.244787
5,0,101,23,0.230824
20,0,101,24,0.509838
10,0,101,27,0.456563
20,0,101,18,0.449169
10,0,101,24,0.436581
50,0,101,9,0.448982
20,0,101,22,0.912544
2,0,101,8,0.496736
50,0,101,4,0.456806
1,0,101,27,0.858869
10,0,101,20,0.440592
10,0,101,26,0.443659
2,0,101,5,0.836537
2,0,101,9,0.792829
2,0,101,31,0.259795
50,0,101,25,0.27733
20,0,101,19,0.216486
5,0,101,7,0.44454
50,0,101,26,0.4769
1,0,101,8,0.880022
10,0,101,2,0.490442
5,0,101,30,0.457425
10,0,101,16,0.910015
1,0,101,6,0.451465
50,0,101,32,0.449881
