phase,phase_round,order_position,observation_index,cell_id,canonical_instance_id,factor_level,replication_index,seed,step_position,step_index,step_id,prefix_step_count,fresh_state,wall_latency_ns,wall_latency_ms,cpu_latency_ns,cpu_latency_ms,semantic_digest,semantic_match
warmup,0,0,1,level_000025/rep_000_seed_101::step_0021,level_000025/rep_000_seed_101,25,0,101,20,21,Q021,20,True,466488,0.466488,470804,0.470804,527a4bd305a311456263acf395a554237165783ff70e8e385612b86e0466c492,True
warmup,0,1,2,level_000025/rep_000_seed_101::step_0004,level_000025/rep_000_seed_101,25,0,101,3,4,Q004,3,True,458554,0.458554,461814,0.461814,12692690f644c5740702a2816481a56bafa1dd748a5ceddd7916ce36b5c74e89,True
warmup,0,2,3,level_000050/rep_000_seed_101::step_0007,level_000050/rep_000_seed_101,50,0,101,6,7,Q007,6,True,458680,0.45868,461551,0.461551,caea431854c4bb80990491b87cc4c39d1c229f1e7db082c63ba5352561749c2e,True
warmup,0,3,4,level_000075/rep_000_seed_101::step_0018,level_000075/rep_000_seed_101,75,0,101,17,18,Q018,17,True,457118,0.457118,459996,0.459996,dc1fc1ade62348e4d337616d4de22e277cd7963246d3a5a4d2c50dfc12225081,True
warmup,0,4,5,level_000075/rep_000_seed_101::step_0023,level_000075/rep_000_seed_101,75,0,101,22,23,Q023,22,True,451269,0.451269,454296,0.454296,0a56d9b5c192eb8c96a025d20b3283fd4f97fce29d6e346c5f37ec786c53d79b,True
warmup,0,5,6,level_000050/rep_000_seed_101::step_0017,level_000050/rep_000_seed_101,50,0,101,16,17,Q017,16,True,473483,0.473483,476550,0.47655,a692b2061ee84261ee6c3aaeaa2c0ee4630b1dd7827a93a86a6c04c0b930b308,True
warmup,0,6,7,level_000100/rep_000_seed_101::step_0008,level_000100/rep_000_seed_101,100,0,101,7,8,Q008,7,True,457608,0.457608,460905,0.460905,03a41d679e1a7ce71502a0b3090347acff526375030870585284cda1d2ba3203,True
warmup,0,7,8,level_000075/rep_000_seed_101::step_0007,level_000075/rep_000_seed_101,75,0,101,6,7,Q007,6,True,465272,0.465272,468200,0.4682,ff33ed3dca0873e78fa6f42bb2f5ebce511cff6b6cd842045bb3d057ae6a0cfe,True
warmup,0,8,9,level_000050/rep_000_seed_101::step_0019,level_000050/rep_000_seed_101,50,0,101,18,19,Q019,18,True,810527,0.810527,814844,0.814844,02ff0bfa6c767db410e995a5e1d08f01cbda036f53dff445c6a855c9de91a468,True
warmup,0,9,10,level_000050/rep_000_seed_101::step_0001,level_000050/rep_000_seed_101,50,0,101,0,1,Q001,0,True,907561,0.907561,912753,0.912753,c8e5f79437822c320830386799517feff8b03e07f43a974fe6455b7d88677568,True
warmup,0,10,11,level_000075/rep_000_seed_101::step_0010,level_000075/rep_000_seed_101,75,0,101,9,10,Q010,9,True,479630,0.47963,483676,0.483676,2a0be813e1a95578b5c5a4260b3627d1e3cb91b8a35fa4dee393c87f8e2f895f,True
warmup,0,11,12,level_000025/rep_000_seed_101::step_0018,level_000025/rep_000_seed_101,25,0,101,17,18,Q018,17,True,439508,0.439508,443338,0.443338,96d7635caf5b424cf85fdde51d3b176d16a5d7f9e642b314ecf3471e5014252b,True
warmup,0,12,13,level_000025/rep_000_seed_101::step_0005,level_000025/rep_000_seed_101,25,0,101,4,5,Q005,4,True,449894,0.449894,452753,0.452753,6a723fe9f5b9fac33af3b1d70d4ea0000e2175e16a5b59fa5dbf7bd86150f1b3,True
warmup,0,13,14,level_000100/rep_000_seed_101::step_0009,level_000100/rep_000_seed_101,100,0,101,8,9,Q009,8,True,476518,0.476518,479609,0.479609,366a40ea21c36764fd34eba9ff189880097f65c541825db33b5dafee47403936,True
