phase,phase_round,order_position,observation_index,cell_id,canonical_instance_id,factor_level,replication_index,seed,step_position,step_index,step_id,prefix_step_count,fresh_state,wall_latency_ns,wall_latency_ms,cpu_latency_ns,cpu_latency_ms,semantic_digest,semantic_match
warmup,0,0,1,level_000020/rep_004_seed_1126922093::step_0023,level_000020/rep_004_seed_1126922093,20,4,1126922093,22,23,step-0023-support-16,22,True,424570,0.42457,427552,0.427552,b3c03cfb275d696256471cd2d71e40b6cf0a2bde3c8bf6ee6064715d5649557c,True
warmup,0,1,2,level_000002/rep_004_seed_1126922093::step_0009,level_000002/rep_004_seed_1126922093,2,4,1126922093,8,9,step-0009-support-05,8,True,435662,0.435662,438418,0.438418,bc519727888d3dfa75f0ecf43ae45abf085481f58797e829269a6e925c3fe638,True
warmup,0,2,3,level_000002/rep_004_seed_1126922093::step_0031,level_000002/rep_004_seed_1126922093,2,4,1126922093,30,31,step-0031-noise-invalid_time_window,30,True,234114,0.234114,237107,0.237107,e44f91da3da08df642245bc8313f9f6b04bc49b96af46a4dc3a88142df9ff2b1,True
warmup,0,3,4,level_000050/rep_004_seed_1126922093::step_0025,level_000050/rep_004_seed_1126922093,50,4,1126922093,24,25,step-0025-support-17,24,True,426143,0.426143,429064,0.429064,ed94a87449ae0bfcf12bb35ff218ca6695a98c8c3f95d3913710688a722763de,True
warmup,0,4,5,level_000020/rep_004_seed_1126922093::step_0019,level_000020/rep_004_seed_1126922093,20,4,1126922093,18,19,step-0019-support-13,18,True,414675,0.414675,417246,0.417246,23868392830db9140ebd6604704a0032c49bee676409aa0d5f18adc100dd3367,True
warmup,0,5,6,level_000005/rep_004_seed_1126922093::step_0007,level_000005/rep_004_seed_1126922093,5,4,1126922093,6,7,step-0007-support-03,6,True,468415,0.468415,471015,0.471015,c53eab1b7317dff2adc1d3c8852d8962c805e675d2c93be1a7bdf13dc7c4ee17,True
warmup,0,6,7,level_000050/rep_004_seed_1126922093::step_0026,level_000050/rep_004_seed_1126922093,50,4,1126922093,25,26,step-0026-support-18,25,True,773262,0.773262,778815,0.778815,0ff27727543a7e49ec98f72469a5a9b13809b373cd6ec41f4a9f995d418592f2,True
warmup,0,7,8,level_000001/rep_004_seed_1126922093::step_0008,level_000001/rep_004_seed_1126922093,1,4,1126922093,7,8,step-0008-support-04,7,True,408246,0.408246,410567,0.410567,8f38bc34cd96e5b7090f503407d14bf60ffefff3976361cd1b09539cde3facbe,True
warmup,0,8,9,level_000010/rep_004_seed_1126922093::step_0002,level_000010/rep_004_seed_1126922093,10,4,1126922093,1,2,step-0002-support-00,1,True,459488,0.459488,462006,0.462006,4e3895c7cb2dba07a492f9f367045e7eb9418bec3685def6699a0bb5aa4a82c2,True
warmup,0,9,10,level_000005/rep_004_seed_1126922093::step_0030,level_000005/rep_004_seed_1126922093,5,4,1126922093,29,30,step-0030-support-22,29,True,413581,0.413581,416671,0.416671,64abd0cd83bc429810a1449de2ec72f7c049b5233df17d6acb568bd739854610,True
