phase,phase_round,order_position,observation_index,cell_id,canonical_instance_id,factor_level,replication_index,seed,step_position,step_index,step_id,prefix_step_count,fresh_state,wall_latency_ns,wall_latency_ms,cpu_latency_ns,cpu_latency_ms,semantic_digest,semantic_match
warmup,0,0,1,level_000006/rep_004_seed_1126922093::step_0001,level_000006/rep_004_seed_1126922093,6,4,1126922093,0,1,step-0001-sales-sum-region-06-2011,0,True,337738,0.337738,340316,0.340316,81f9cd5038b044c6fdb8fa26b43c0d99c083fc1db803d1ba9bffe26c0db30fc1,True
warmup,0,1,2,level_000012/rep_004_seed_1126922093::step_0001,level_000012/rep_004_seed_1126922093,12,4,1126922093,0,1,step-0001-sales-sum-region-06-2011,0,True,429023,0.429023,432034,0.432034,aa60066ad909c040b6ef401e2d801f1bc30c16b50376947a5bbe5cf3208ac347,True
warmup,0,2,3,level_000006/rep_004_seed_1126922093::step_0002,level_000006/rep_004_seed_1126922093,6,4,1126922093,1,2,step-0002-sales-sum-region-07-2002,1,True,521563,0.521563,525351,0.525351,a7f4c7ef3a872dcea1a6dd94bb58c50ab6dc7400c4568f002e26ac82e966bdc6,True
warmup,0,3,4,level_000024/rep_004_seed_1126922093::step_0002,level_000024/rep_004_seed_1126922093,24,4,1126922093,1,2,step-0002-sales-sum-region-07-2002,1,True,463409,0.463409,465962,0.465962,5c0206f2638a85c00dbf25dd6b7fd6b5a2541a92ae1b339eca70546522727100,True
warmup,0,4,5,level_000024/rep_004_seed_1126922093::step_0001,level_000024/rep_004_seed_1126922093,24,4,1126922093,0,1,step-0001-sales-sum-region-06-2011,0,True,524274,0.524274,526576,0.526576,c03c12ada0722bb118c13d04fc0cf9369f263f5bd74001b1f15e49ff6dd00b85,True
warmup,0,5,6,level_000012/rep_004_seed_1126922093::step_0002,level_000012/rep_004_seed_1126922093,12,4,1126922093,1,2,step-0002-sales-sum-region-07-2002,1,True,335726,0.335726,337965,0.337965,a01275d2342f04427e22de6e257e4c4855c88335ec7ec3c974fba23ce2081405,True
warmup,1,0,7,level_000012/rep_004_seed_1126922093::step_0001,level_000012/rep_004_seed_1126922093,12,4,1126922093,0,1,step-0001-sales-sum-region-06-2011,0,True,399812,0.399812,402547,0.402547,aa60066ad909c040b6ef401e2d801f1bc30c16b50376947a5bbe5cf3208ac347,True
warmup,1,1,8,level_000006/rep_004_seed_1126922093::step_0002,level_000006/rep_004_seed_1126922093,6,4,1126922093,1,2,step-0002-sales-sum-region-07-2002,1,True,296675,0.296675,298997,0.298997,a7f4c7ef3a872dcea1a6dd94bb58c50ab6dc7400c4568f002e26ac82e966bdc6,True
warmup,1,2,9,level_000024/rep_004_seed_1126922093::step_0002,level_000024/rep_004_seed_1126922093,24,4,1126922093,1,2,step-0002-sales-sum-region-07-2002,1,True,470346,0.470346,473046,0.473046,5c0206f2638a85c00dbf25dd6b7fd6b5a2541a92ae1b339eca70546522727100,True
warmup,1,3,10,level_000024/rep_004_seed_1126922093::step_0001,level_000024/rep_004_seed_1126922093,24,4,1126922093,0,1,step-0001-sales-sum-region-06-2011,0,True,531017,0.531017,533339,0.533339,c03c12ada0722bb118c13d04fc0cf9369f263f5bd74001b1f15e49ff6dd00b85,True
