phase,phase_round,order_position,observation_index,cell_id,canonical_instance_id,factor_level,replication_index,seed,step_position,step_index,step_id,prefix_step_count,fresh_state,wall_latency_ns,wall_latency_ms,cpu_latency_ns,cpu_latency_ms,semantic_digest,semantic_match
warmup,0,0,1,level_000020/rep_008_seed_874332939::step_0023,level_000020/rep_008_seed_874332939,20,8,874332939,22,23,step-0023-noise-invalid_aggregation,22,True,210192,0.210192,213082,0.213082,eb7cc317c8c14a5c350dd28cdd6f9fe89b68c3b75292f7d5764bbad3e62b00b3,True
warmup,0,1,2,level_000002/rep_008_seed_874332939::step_0009,level_000002/rep_008_seed_874332939,2,8,874332939,8,9,step-0009-support-08,8,True,468853,0.468853,472551,0.472551,c2cf91cc44aab464baaa4b698cf66eb48631d9b3971330710993a85ebd95c8e3,True
warmup,0,2,3,level_000002/rep_008_seed_874332939::step_0031,level_000002/rep_008_seed_874332939,2,8,874332939,30,31,step-0031-support-23,30,True,461545,0.461545,464964,0.464964,6e8cab8fa9388d3c27363b9614d734847346a38587612aa38fde14da74e93ca0,True
warmup,0,3,4,level_000050/rep_008_seed_874332939::step_0025,level_000050/rep_008_seed_874332939,50,8,874332939,24,25,step-0025-support-17,24,True,453568,0.453568,457392,0.457392,c6362b278536ab9900ca08b9c7549287e2312a507c17d66bff2fa142a0e30db0,True
warmup,0,4,5,level_000020/rep_008_seed_874332939::step_0019,level_000020/rep_008_seed_874332939,20,8,874332939,18,19,step-0019-support-15,18,True,452530,0.45253,455363,0.455363,050f9fbcb5e11d8c92cf2af66f3c03717af29191dcd7e42c29038810201bcd49,True
warmup,0,5,6,level_000005/rep_008_seed_874332939::step_0007,level_000005/rep_008_seed_874332939,5,8,874332939,6,7,step-0007-support-06,6,True,462645,0.462645,465474,0.465474,22b0145438cd93490b8342557aad167fad0ba6aad461eb3c0b19f5e397842420,True
warmup,0,6,7,level_000050/rep_008_seed_874332939::step_0026,level_000050/rep_008_seed_874332939,50,8,874332939,25,26,step-0026-support-18,25,True,460879,0.460879,464017,0.464017,87c202a212f2290894732943be58e47099f4ffb42f54dfbd47a94b264f872fc9,True
warmup,0,7,8,level_000001/rep_008_seed_874332939::step_0008,level_000001/rep_008_seed_874332939,1,8,874332939,7,8,step-0008-support-07,7,True,473219,0.473219,476046,0.476046,606264063046c9637dd0ec7d26238515a9520332becf4d00a2c61c8b8c7c8a72,True
warmup,0,8,9,level_000010/rep_008_seed_874332939::step_0002,level_000010/rep_008_seed_874332939,10,8,874332939,1,2,step-0002-support-01,1,True,476302,0.476302,478875,0.478875,a598ae2b04f6b0f9564da5b17c3a1f56635a9d7fe4e0b7c4d5a2cf06a729761b,True
warmup,0,9,10,level_000005/rep_008_seed_874332939::step_0030,level_000005/rep_008_seed_874332939,5,8,874332939,29,30,step-0030-support-22,29,True,464092,0.464092,469080,0.46908,71aebc1c03dcd45c1694eb0275cc28fde5c47ee910eb3fef8bc69c1adec589d0,True
